stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,pw1990,pw2017,pwDiff,mw1990,mw1991,mw1992,mw1993,mw1994,mw1995,mw1996,mw1997,mw1998,mw1999,mw2000,mw2001,mw2002,mw2003,mw2004,mw2005,mw2006,mw2007,mw2008,mw2009,mw2010,mw2011,mw2012,mw2013,mw2014,mw2015,mw2016,mw2017
718710-99999,0.17980295566502985,0.0903807826176802,0.26922512871237947,1,43.464285714285715,266,270,4.000000000000005,44,42,41,42,42,41,44,43,36,41,40,46,44,44,43,43,43,44,44,44,45,47,47,46,45,45,45,46
836710-99999,0.5317460317460402,0.3041480664219479,0.7593439970701324,1,18.464285714285715,296,135,161.0,12,17,14,12,14,12,15,14,16,13,13,30,12,13,24,21,19,14,12,12,21,27,26,27,27,25,27,28
076500-99999,-0.007662835249040656,-0.1176053963400485,0.10227972584196719,0,48.0,313,300,13.000000000000005,50,47,43,45,47,50,50,45,48,50,49,52,49,47,51,51,49,48,47,48,51,44,47,48,48,45,47,48
085540-99999,0.22550629447181736,0.0385859211554829,0.41242666778815185,1,36.285714285714285,326,341,14.999999999999982,36,35,36,35,35,39,36,25,25,27,33,42,38,39,36,38,37,36,39,40,41,38,38,39,39,37,39,38
228310-99999,-0.14915161466885715,-0.25598714873177963,-0.042316080605934656,-1,18.535714285714285,253,256,3.000000000000017,22,21,22,20,22,23,20,20,18,19,18,17,17,18,16,18,16,17,17,15,13,16,15,20,21,21,18,19
511330-99999,-0.18828680897646868,-0.2697770617261859,-0.10679655622675147,-1,21.857142857142858,12,165,153.0,22,20,22,24,24,24,23,25,23,24,24,25,23,22,26,23,22,21,22,20,21,20,19,19,19,18,18,19
545390-99999,-0.16064586754241914,-0.22834664401743082,-0.09294509106740743,-1,24.107142857142858,195,215,20.000000000000004,29,27,27,25,25,26,24,27,25,26,24,22,22,22,24,23,24,23,23,24,24,21,22,23,22,23,25,23
786270-99999,-0.11548987411056587,-0.34027363726914905,0.1092938890480173,0,15.357142857142858,133,139,6.000000000000009,16,0,16,19,19,17,16,18,18,16,19,27,21,20,17,13,15,16,12,12,10,12,13,12,13,12,17,14
080250-99999,0.024083196496993975,-0.1355955924022568,0.18376198539624475,0,29.714285714285715,309,325,15.999999999999972,34,33,27,27,26,26,28,26,27,28,28,28,30,33,35,35,34,31,32,32,32,31,28,32,33,26,26,24
876230-99999,0.4816639299398019,0.3002175677742689,0.6631102921053349,1,35.0,22,13,8.999999999999998,32,28,31,30,32,38,38,31,30,28,32,32,31,32,29,26,32,37,40,42,40,40,39,41,39,42,43,45
232560-99999,-0.15681444991789473,-0.30284649816426656,-0.01078240167152289,-1,48.107142857142854,224,216,8.00000000000001,56,51,49,45,44,47,54,56,49,46,46,50,47,49,47,47,44,47,51,49,47,50,45,45,48,47,44,47
614040-99999,-0.01696770662287783,-0.2268389497564651,0.19290353651070943,0,48.285714285714285,358,25,27.000000000000014,50,44,41,44,46,44,48,55,57,50,51,50,54,51,50,47,43,46,53,49,50,52,54,46,46,45,40,46
423090-99999,-0.018883415435137316,-0.25372396447880435,0.21595713360852975,0,9.107142857142858,42,82,40.0,12,12,10,8,9,9,10,11,12,10,12,11,10,17,0,5,5,4,3,4,3,4,4,7,12,14,17,20
030910-99999,-0.1042692939244681,-0.19009610309768893,-0.01844248475124728,-1,45.607142857142854,223,247,24.000000000000007,47,43,46,47,49,48,49,46,47,47,46,43,44,45,46,49,45,44,47,45,43,46,42,44,44,46,43,46
943370-99999,1.0602079912424944,0.6366327733505817,1.4837832091344072,1,35.214285714285715,138,134,3.99999999999998,27,29,21,17,19,20,20,19,21,22,20,32,47,49,47,51,46,50,51,42,49,45,38,42,41,44,37,40
724945-23293,0.06130268199233663,-0.04120475882103608,0.16381012280570934,0,28.5,325,291,33.99999999999997,26,26,25,25,27,27,28,29,29,31,31,32,31,29,32,30,31,30,28,27,28,27,29,26,27,26,31,30
725465-14950,-0.5169677066228839,-0.6980589386896232,-0.3358764745561447,-1,48.535714285714285,228,259,31.000000000000007,58,53,51,49,55,53,60,58,55,58,53,44,46,45,45,44,46,45,44,43,42,44,43,44,47,44,44,46
961790-99999,-0.09660645867542131,-0.2572693873103705,0.06405646995952788,0,19.75,41,82,41.0,26,22,18,21,22,19,18,22,16,16,17,19,23,22,21,24,25,23,20,16,16,15,14,15,21,24,17,21
835310-99999,-0.03448275862068925,-0.14474523738744907,0.07577972014607057,0,16.428571428571427,65,51,14.0,18,19,17,16,20,16,19,17,16,18,18,14,17,13,16,13,11,15,14,13,15,17,19,17,17,17,18,20
766750-99999,-0.108100711548992,-0.23589784619095355,0.01969642309296954,0,23.035714285714285,226,214,12.000000000000018,21,21,19,28,26,26,29,28,21,21,20,25,25,25,23,25,22,24,24,20,23,22,21,19,22,22,23,20
945100-99999,0.07498631636562417,-0.01064641591935113,0.16061904865059945,0,32.214285714285715,106,85,20.99999999999999,27,31,33,34,31,32,30,29,31,35,33,31,32,34,33,34,35,34,32,33,31,30,32,33,34,34,32,32
681100-99999,0.31226053639846885,0.16289564349726024,0.4616254292996774,1,23.464285714285715,35,85,50.00000000000001,16,21,23,27,24,20,19,17,17,19,18,19,24,20,28,27,27,29,27,26,25,25,27,27,26,27,26,26
620070-99999,-0.04761904761904434,-0.21038807297311496,0.11514997773502628,0,45.0,53,41,11.999999999999996,50,48,44,47,46,46,46,45,47,44,42,44,42,43,45,45,41,46,45,44,40,34,47,51,48,48,44,48
688160-99999,0.14176245210727717,-0.04716428243555626,0.3306891866501106,0,52.0,197,192,4.999999999999995,45,46,49,55,56,57,57,57,53,48,51,50,45,46,47,48,50,49,56,55,55,55,55,56,53,54,53,55
714470-99999,-0.04269293924466244,-0.1213331721251973,0.035947293635872415,0,41.42857142857143,259,270,10.999999999999977,43,37,42,42,43,42,43,45,39,43,42,41,42,42,41,42,41,42,42,40,39,42,40,39,43,40,42,41
787050-99999,-0.0002736726874673079,-0.15078314711373864,0.15023580173880402,0,20.892857142857142,21,22,0.9999999999999982,19,16,18,17,23,18,25,28,22,26,23,24,23,19,23,23,19,19,18,18,18,19,21,18,20,24,24,20
299230-99999,-0.010673234811158366,-0.2086740359656083,0.18732756634329156,0,32.035714285714285,219,182,37.000000000000014,41,33,28,29,26,33,33,37,38,31,29,35,35,31,31,28,28,31,30,30,30,27,25,34,36,39,33,36
111900-99999,0.19047619047619618,-0.015196027197863171,0.39614840815025554,0,32.92857142857143,316,313,2.999999999999966,34,31,28,33,33,32,34,35,32,19,18,34,34,34,35,37,36,38,35,34,34,33,35,35,34,35,35,35
411120-99999,0.05008210180624678,-0.07788254408776918,0.17804674770026274,0,31.107142857142858,198,179,18.99999999999999,38,31,31,29,29,27,29,32,32,26,31,30,28,27,30,34,35,35,31,34,31,32,33,32,31,31,32,30
580270-99999,-0.07033388067870833,-0.1261848770709526,-0.014482884286464055,-1,21.178571428571427,91,112,21.000000000000004,23,22,21,23,21,20,21,23,21,20,23,23,22,21,22,22,21,20,20,21,22,18,19,22,21,20,21,20
767750-99999,-1.6327312534209641,-2.601093627613071,-0.6643688792288575,-1,29.571428571428573,38,66,28.0,15,15,39,30,115,52,71,52,51,47,60,30,23,20,17,16,15,15,17,16,15,15,14,13,14,15,13,13
711030-99999,0.165024630541878,0.03627824809335958,0.29377101299039643,1,18.821428571428573,165,154,10.999999999999977,21,19,20,17,20,16,19,17,15,16,14,21,16,16,15,17,16,18,17,18,22,25,23,21,21,21,22,24
701330-26616,-0.39244663382594824,-0.55893253560009,-0.22596073205180645,-1,51.5,100,104,4.000000000000005,58,57,56,60,57,54,61,55,52,45,53,48,54,52,54,48,50,48,44,48,44,48,45,49,52,50,50,50
031600-99999,0.008757525998906834,-0.10570204155779322,0.1232170935556069,0,44.857142857142854,246,241,4.999999999999995,47,42,46,45,48,47,44,44,46,45,44,43,42,41,43,46,44,47,47,46,38,46,44,47,45,49,44,46
417440-99999,-0.5807334428024157,-0.7332616558447556,-0.4282052297600758,-1,13.285714285714286,279,339,59.999999999999986,22,19,15,17,18,20,22,20,15,18,20,13,16,21,12,11,7,6,6,9,9,8,12,11,6,8,5,6
722680-23009,-0.1494252873563241,-0.23004098055889305,-0.06880959415375516,-1,38.92857142857143,165,194,29.000000000000004,41,39,39,40,40,44,44,37,39,39,40,38,41,42,39,38,39,36,39,37,37,38,37,38,38,36,37,38
601070-99999,0.2947454844006637,0.18158733177665973,0.4079036370246677,1,25.607142857142858,359,347,12.000000000000018,25,22,25,26,22,22,25,22,22,22,20,24,24,26,24,23,23,26,28,29,29,31,29,33,31,28,28,28
150200-99999,-0.16694033935413677,-0.25595584217115036,-0.07792483653712319,-1,26.0,318,294,24.000000000000036,26,26,28,28,26,26,25,28,29,29,28,29,30,29,28,25,24,26,26,22,24,23,24,24,22,24,25,24
415150-99999,0.20771756978653488,0.06491064944869859,0.35052449012437115,1,11.678571428571429,63,185,122.0,5,8,15,11,14,10,4,3,10,11,17,13,12,13,10,11,12,15,13,14,11,12,12,13,15,14,13,16
604300-99999,0.009304871373837231,-0.11872034815345653,0.137330090901131,0,28.642857142857142,99,95,3.999999999999993,29,32,26,29,28,30,28,30,25,26,28,31,30,26,26,29,26,28,30,34,33,30,26,34,27,25,26,30
061830-99999,-0.7263273125342234,-1.371247498367751,-0.08140712670069605,-1,80.92857142857143,231,258,26.999999999999996,87,82,91,141,102,78,70,84,89,54,80,81,85,79,77,75,72,78,78,75,74,76,75,73,70,82,76,82
531490-99999,-0.14915161466885946,-0.2903161012773871,-0.007987128060331805,-1,42.892857142857146,279,304,25.00000000000002,43,43,45,46,42,41,44,41,49,47,46,48,47,44,43,41,42,38,41,42,43,36,36,41,43,43,44,42
239330-99999,0.1004378762999486,-0.02022156396050978,0.221097316560407,0,25.178571428571427,198,213,15.000000000000009,26,27,26,25,25,27,25,24,21,22,23,25,21,23,21,22,22,27,30,26,27,29,26,25,28,27,25,30
680180-99999,0.09742747673783178,-0.14769620360079064,0.3425511570764542,0,24.571428571428573,102,109,6.9999999999999964,34,26,24,18,21,20,25,28,28,28,24,23,21,19,17,18,19,19,23,25,32,33,22,33,31,30,23,24
303090-99999,-0.2008757525998958,-0.3117792490572765,-0.08997225614251511,-1,30.0,261,250,10.999999999999977,30,31,28,31,31,34,32,33,35,31,32,35,33,31,29,27,31,32,31,27,27,26,24,27,28,28,28,28
119180-99999,-0.011220580186091317,-0.1887802607606223,0.16633910038843966,0,34.392857142857146,263,259,4.000000000000005,42,38,41,38,37,33,28,30,33,33,31,29,30,29,36,32,34,36,36,32,33,33,34,36,36,38,36,39
723080-13737,-0.2961138478379851,-0.40682622023776716,-0.18540147543820307,-1,42.0,236,239,2.999999999999966,51,50,48,46,46,43,41,41,41,43,41,40,42,42,41,41,41,39,41,40,37,38,39,40,41,41,41,41
610960-99999,-0.44116037219486026,-0.6928916901632112,-0.1894290542265094,-1,23.0,41,42,1.0000000000000013,30,26,21,24,25,31,32,31,39,38,20,18,17,18,19,19,21,21,22,18,20,20,18,18,19,24,19,16
782550-99999,0.03448275862069422,-0.13350312315675542,0.20246864039814386,0,38.857142857142854,65,69,3.999999999999993,43,32,36,40,45,43,42,38,42,37,37,37,38,36,39,38,34,33,36,37,35,38,43,42,40,42,43,42
125100-99999,-0.8538587848932869,-1.5012343734792823,-0.2064831963072915,-1,123.71428571428571,272,289,16.99999999999996,127,121,138,139,137,136,113,122,138,120,124,120,122,121,145,132,144,144,153,98,106,112,112,102,103,112,104,119
724100-13733,-0.41488779419813826,-0.6361729859544529,-0.19360260244182356,-1,23.5,243,226,16.999999999999986,37,35,36,33,31,25,24,20,15,21,22,20,22,21,20,18,20,24,25,21,19,20,19,21,21,23,22,23
653380-99999,0.019430760810072736,-0.1297717216494796,0.1686332432696251,0,14.964285714285714,211,202,9.0,16,13,14,12,17,16,17,16,16,16,14,16,15,16,15,14,12,14,8,9,12,17,21,20,18,19,16,10
484780-99999,-0.21565407772304407,-0.6109660515150483,0.1796578960689602,0,16.928571428571427,233,227,6.000000000000009,23,26,23,29,45,15,8,11,7,9,8,10,8,8,13,22,24,22,19,14,16,20,13,12,17,17,19,16
943400-99999,0.3352490421456027,0.1035905181837643,0.5669075661074411,1,32.107142857142854,89,64,25.0,32,31,26,22,26,25,22,21,27,35,38,39,38,39,34,37,38,34,32,31,29,34,33,37,36,38,33,32
711880-99999,0.18856048166393485,0.11361460410568744,0.26350635922218224,1,30.178571428571427,299,293,6.000000000000034,30,28,28,28,29,28,28,28,26,30,29,32,32,30,31,31,29,32,29,30,31,29,29,33,33,34,33,35
833680-99999,-0.04761904761904804,-0.12162341805821045,0.026385322820114375,0,5.285714285714286,100,95,4.999999999999995,6,6,5,6,4,4,6,6,4,7,7,8,7,6,7,7,5,5,3,3,4,2,3,3,6,6,6,6
984290-99999,-0.46141215106731504,-0.8039949550921445,-0.1188293470424856,-1,30.357142857142858,85,122,36.99999999999999,54,56,43,33,29,27,29,30,29,23,25,30,27,27,28,25,24,25,24,25,26,30,31,29,31,32,30,28
370610-99999,0.06650246305418805,-0.0593352463182685,0.1923401724266446,0,23.321428571428573,271,102,168.99999999999997,22,23,25,25,22,24,25,20,23,24,23,25,24,22,22,22,21,23,17,18,21,25,25,23,28,29,26,26
582650-99999,-0.23125342090859624,-0.29763835873464567,-0.1648684830825468,-1,34.25,74,68,5.999999999999996,38,36,36,37,39,37,36,36,33,32,35,35,34,34,35,36,35,34,33,32,34,33,34,33,32,29,31,30
655100-99999,0.14121510673234933,-0.01927265257921587,0.3017028660439145,0,31.0,192,119,73.00000000000001,28,24,24,24,27,28,34,33,35,29,32,37,35,34,33,34,33,33,33,33,33,32,29,32,30,31,30,28
224080-99999,0.01696770662288355,-0.1391189610732226,0.1730543743189897,0,20.357142857142858,258,264,6.000000000000034,25,23,24,23,21,23,19,19,15,15,18,18,17,22,16,22,19,20,20,19,17,19,18,19,23,27,24,25
765770-99999,0.37164750957855075,0.13555579835322354,0.607739220803878,1,11.5,337,226,110.99999999999999,8,7,11,13,10,10,13,14,9,10,9,10,6,6,6,6,4,4,7,6,14,21,16,17,21,20,22,22
877500-99999,-0.5013683634373435,-0.8002741093803869,-0.2024626174943,-1,60.285714285714285,348,328,19.999999999999975,59,55,62,60,65,65,66,61,69,66,71,76,69,67,56,53,60,68,62,60,57,54,56,56,51,48,47,49
114380-99999,0.13957307060755542,0.02873192784168206,0.2504142133734288,1,34.714285714285715,295,282,13.000000000000005,33,29,31,37,37,35,31,33,38,34,32,31,37,35,37,34,32,38,36,35,34,35,36,34,36,38,35,39
333010-99999,-0.09113300492610682,-0.18917973117296893,0.006913721320755281,0,41.25,256,260,4.000000000000005,46,42,43,45,43,41,40,42,44,39,41,40,42,39,41,40,39,42,42,37,39,39,39,41,40,42,42,45
483800-99999,0.09031198686371723,-0.034791490147676254,0.21541546387511074,0,3.4285714285714284,324,68,104.0,8,9,4,2,2,2,2,2,1,1,1,2,1,0,1,1,2,4,3,3,4,3,3,4,7,8,8,8
485010-99999,0.16912972085385852,-0.0018320188780305557,0.3400914605857476,0,12.571428571428571,243,190,52.999999999999986,7,6,7,8,25,8,10,11,10,14,16,15,16,15,13,12,11,11,13,14,13,12,13,14,15,15,14,14
172950-99999,0.3212917350848158,-0.0223022681883715,0.6648857383580031,0,35.92857142857143,0,336,23.999999999999996,0,31,36,37,39,41,37,41,36,33,34,34,35,40,41,41,39,40,38,37,35,36,38,39,36,37,38,37
916600-99999,-1.3576902025178093,-2.3455623620785033,-0.3698180429571154,-1,44.75,110,105,4.999999999999995,60,52,58,62,63,60,56,56,70,64,55,62,67,66,23,55,39,0,7,0,0,7,34,35,33,58,65,46
070190-99999,0.9296661193213343,0.025663364266125366,1.833668874376543,1,61.107142857142854,265,248,17.00000000000001,83,79,23,74,50,50,43,37,51,16,16,42,56,60,82,76,77,78,79,76,78,74,75,73,65,69,66,63
221650-99999,-0.26053639846743776,-0.5474840278952272,0.026411230960351695,0,73.28571428571429,127,122,5.0000000000000195,76,72,82,72,71,78,78,77,75,75,73,73,79,81,80,78,76,70,49,68,66,68,72,71,72,74,71,75
542260-99999,0.0010946907498655678,-0.09979129379036145,0.10198067529009258,0,28.357142857142858,295,279,16.00000000000002,31,31,30,29,27,28,29,28,25,25,28,28,31,30,29,28,26,26,27,27,27,26,26,30,28,30,31,33
071460-99999,-0.3347016967706701,-0.6644295450336262,-0.004973848507713985,-1,40.464285714285715,267,253,13.999999999999995,41,38,40,40,39,41,43,43,45,44,42,69,57,38,40,38,39,41,38,36,35,35,37,35,35,37,34,33
846910-99999,0.2260536398467466,0.02788650665828113,0.42422077303521205,1,35.57142857142857,197,239,41.999999999999986,33,39,40,36,28,28,26,33,33,39,38,38,38,33,24,37,36,36,36,36,38,37,37,36,39,42,41,39
724520-03957,0.004652435686921502,-0.23181341050118046,0.24111828187502346,0,41.607142857142854,148,105,43.0,45,43,41,42,39,38,47,20,47,46,45,43,45,42,43,41,42,40,43,42,40,42,42,42,44,39,40,42
548630-99999,-0.6617405582922998,-0.8176794660349884,-0.5058016505496112,-1,33.142857142857146,337,258,79.00000000000003,33,36,41,40,38,41,40,41,38,40,40,39,41,36,32,32,30,28,28,27,29,26,26,26,26,25,25,24
724340-13994,-0.255062944718119,-0.32409097684044263,-0.18603491259579538,-1,40.357142857142854,215,236,21.000000000000018,46,45,44,42,43,45,43,41,39,41,41,40,39,40,40,38,41,38,40,39,37,39,37,38,39,37,38,40
161050-99999,0.513409961685828,0.3715851034274082,0.6552348199442477,1,27.714285714285715,73,54,19.0,17,18,18,18,20,26,29,31,26,29,27,28,28,30,28,30,30,30,30,31,29,28,31,28,30,35,35,36
655570-99999,0.568965517241391,0.30143336682688804,0.836497667655894,1,6.321428571428571,220,228,8.00000000000001,3,2,2,2,2,2,2,3,4,1,1,1,2,4,3,3,4,9,10,6,3,31,16,0,12,14,16,19
804190-99999,nan,nan,nan,0,24.14814814814815,66.0,nan,nan,28.0,28.0,26.0,33.0,29.0,28.0,28.0,30.0,28.0,26.0,27.0,28.0,29.0,27.0,28.0,40.0,11.0,16.0,18.0,17.0,13.0,22.0,21.0,20.0,21.0,21.0,9.0,nan
070100-99999,-0.3938149972632818,-0.52696851662149,-0.26066147790507355,-1,58.392857142857146,221,255,34.00000000000002,60,56,62,63,64,64,62,59,64,63,61,62,62,58,60,58,59,60,59,54,53,54,51,54,50,57,53,53
589440-99999,-0.5432402846196005,-0.711369637105248,-0.37511093213395297,-1,41.035714285714285,30,22,7.999999999999998,51,51,49,52,48,47,48,40,43,44,42,38,34,35,33,42,40,40,37,37,37,40,37,37,36,37,35,39
304930-99999,-0.17980295566502053,-0.4636204420693527,0.10401453073931166,0,15.392857142857142,353,357,3.9999999999999547,26,28,23,18,22,19,20,16,11,11,7,10,9,8,10,10,9,9,9,18,16,17,11,17,17,18,25,17
686140-99999,0.0071154898741104255,-0.04346665441308543,0.05769763416130628,0,20.571428571428573,176,240,63.999999999999986,20,20,20,21,22,20,20,19,21,20,21,23,20,23,21,20,19,22,20,20,20,20,20,20,21,21,20,22
477400-99999,-0.06239737274220156,-0.1168337766856663,-0.007960968798736805,-1,33.357142857142854,313,299,13.999999999999995,34,34,34,33,33,34,32,34,35,33,34,34,35,33,34,35,34,33,33,34,34,32,32,35,31,32,30,33
130670-99999,0.1825396825396856,-0.004956656236694085,0.3700360213160653,0,25.821428571428573,294,331,37.00000000000004,24,23,25,23,20,23,23,25,24,26,23,26,25,24,25,24,25,35,36,35,35,26,25,25,24,24,25,25
836120-99999,-0.17679255610290062,-0.46722575350056794,0.1136406412947667,0,42.142857142857146,87,49,37.99999999999999,48,47,47,48,50,44,35,36,31,33,34,37,43,50,51,52,49,48,40,41,43,42,43,38,37,38,36,39
479090-99999,0.11083743842364777,0.057054930710123804,0.16461994613717174,1,25.535714285714285,135,9,126.0,25,26,22,23,24,25,26,26,23,25,26,25,26,27,26,26,25,25,24,25,26,26,26,27,28,27,27,28
556960-99999,-0.21592775041051554,-0.354559107384466,-0.07729639343656508,-1,25.25,132,140,7.999999999999986,24,24,26,27,30,29,27,30,29,28,27,29,27,27,27,26,26,22,21,22,18,17,22,22,26,25,25,24
474770-99999,0.14039408866995312,0.05144355743633568,0.22934461990357058,1,26.535714285714285,252,239,13.000000000000005,25,26,24,25,26,23,26,26,26,27,26,29,27,24,29,25,25,25,25,26,30,30,23,29,28,28,30,30
351080-99999,-0.040777230432395506,-0.3311056823504108,0.2495512214856198,0,36.892857142857146,224,200,24.000000000000007,47,43,43,42,41,43,32,39,40,24,24,25,33,33,36,33,35,35,33,34,37,36,39,42,40,43,40,41
282140-99999,-0.21373836891078335,-0.34346946471933115,-0.08400727310223557,-1,29.607142857142858,220,208,11.999999999999991,35,35,30,28,34,33,30,34,32,31,30,31,30,31,28,26,27,27,28,25,24,26,23,29,30,31,29,32
029840-99999,0.2810618500273682,-0.15037269228252897,0.7124963923372654,0,59.535714285714285,218,241,23.00000000000002,53,54,69,69,63,67,61,60,56,32,32,53,59,58,59,64,59,64,67,59,56,63,66,62,64,70,63,65
163200-99999,0.5681444991789908,0.3604171140082919,0.7758718843496897,1,39.42857142857143,296,316,19.999999999999975,33,35,33,36,35,35,36,38,35,31,32,40,36,36,37,36,39,43,44,39,49,55,52,41,44,43,39,52
637170-99999,-0.06513409961686467,-0.3246393507883794,0.19437115155465007,0,24.428571428571427,129,133,4.000000000000005,19,21,22,23,23,22,21,23,21,29,30,28,27,28,33,32,35,30,30,30,27,22,19,18,18,17,18,18
042140-99999,0.18773946360153732,0.004298128415178071,0.37118079878789656,1,49.214285714285715,17,53,36.0,49,50,46,45,47,46,49,53,47,49,46,46,45,48,51,51,45,49,48,58,49,52,49,50,51,64,48,47
717380-99999,0.06267104542966717,-0.03843728248519988,0.16377937334453424,0,29.821428571428573,238,268,30.000000000000018,29,26,26,28,27,28,28,32,32,34,33,33,33,30,30,30,29,31,29,28,30,29,28,29,30,31,32,30
476410-99999,0.09469074986316899,0.033327807089113926,0.15605369263722405,1,14.785714285714286,33,339,54.00000000000002,18,12,13,13,13,13,13,13,13,14,16,16,15,15,16,16,15,15,15,15,14,15,16,17,16,16,15,16
680240-99999,-0.23864258347016698,-0.4846474236794853,0.007362256739151363,0,26.642857142857142,72,109,37.0,37,35,29,26,29,30,33,32,26,29,24,30,25,25,21,20,19,21,22,25,20,20,23,22,22,33,35,33
315340-99999,0.5243568691844676,0.29925559740481233,0.7494581409641228,1,9.0,211,197,13.999999999999995,7,6,3,4,3,4,8,6,6,6,5,6,8,9,11,10,8,7,6,6,5,6,7,14,25,25,24,17
475690-99999,0.028461959496443368,-0.045167131808465016,0.10209105080135175,0,40.357142857142854,282,277,4.999999999999995,41,40,42,41,39,40,39,39,37,41,42,40,41,40,42,41,42,41,39,39,37,38,40,41,42,42,42,42
638700-99999,-0.24521072796935536,-0.4481782369710831,-0.042243218967627616,-1,37.5,148,141,6.9999999999999964,38,45,46,44,44,44,43,39,33,36,28,33,32,39,35,36,33,35,33,35,37,38,41,41,37,36,37,32
947540-99999,-0.25013683634373796,-0.39505756073672227,-0.10521611195075364,-1,38.642857142857146,349,68,78.99999999999999,40,41,38,38,39,41,39,38,42,43,41,39,42,43,41,40,42,41,42,43,34,33,32,36,35,34,33,32
467400-99999,0.31964969896004974,0.26018578218831817,0.3791136157317813,1,29.642857142857142,302,307,4.999999999999995,27,27,26,28,27,26,26,26,28,26,27,29,29,27,29,31,31,31,32,33,32,33,33,34,32,34,34,32
977000-99999,-0.29611384783799066,-0.6977618739655663,0.105534178289585,0,34.07142857142857,120,158,38.0,37,35,34,38,34,34,26,32,25,30,33,50,44,48,44,48,47,46,29,31,22,27,21,23,30,30,28,28
829860-99999,0.428024083196506,0.17146732896508177,0.6845808374279302,1,39.785714285714285,131,119,11.999999999999991,37,34,35,36,29,30,31,29,36,54,50,47,35,41,41,38,38,43,40,37,43,43,47,43,43,44,44,46
671520-99999,-0.7096332785988053,-1.0840499460850817,-0.3352166111125289,-1,23.321428571428573,7,32,25.0,34,30,29,27,26,22,20,29,30,28,29,24,27,28,28,29,34,33,24,36,23,0,0,11,15,15,11,11
710944-99999,-0.019430760810070113,-0.3475333772671652,0.308671855647025,0,51.035714285714285,354,355,0.9999999999999887,53,62,52,54,51,44,53,31,64,50,52,54,52,60,45,48,46,44,50,50,51,44,43,50,57,55,56,58
724250-03860,-0.34783798576902447,-0.44658581807334197,-0.24909015346470698,-1,25.107142857142858,246,236,9.999999999999988,31,31,32,32,31,28,26,26,23,26,26,24,26,25,23,23,24,22,23,22,21,22,20,21,25,23,23,24
037680-99999,0.11357416529830769,0.027593768978512928,0.19955456161810245,1,36.107142857142854,234,233,0.9999999999999887,38,34,34,36,37,34,35,34,37,36,33,33,37,34,35,35,37,36,39,37,34,39,38,38,37,41,36,37
063400-99999,0.0057471264367847386,-0.22844696411403959,0.23994121698760906,0,36.392857142857146,248,241,6.999999999999972,40,38,42,40,40,33,27,17,38,40,38,39,39,36,37,35,37,38,38,35,34,37,35,37,35,40,36,38
702510-26528,-0.4113300492610834,-0.5460794950659822,-0.2765806034561846,-1,19.25,353,23,29.99999999999998,32,28,26,21,25,23,22,23,19,19,20,19,18,17,15,15,16,15,14,16,18,16,16,16,17,17,18,18
878030-99999,-1.1548987411056502,-1.3713812247491208,-0.9384162574621795,-1,55.714285714285715,263,277,13.999999999999995,76,67,66,65,77,74,68,63,56,59,57,53,58,59,52,49,51,52,47,51,50,40,44,47,44,47,40,48
719460-99999,-0.13492063492063622,-0.2593240987188468,-0.010517171122425617,-1,22.75,350,339,11.000000000000028,25,26,26,25,24,24,25,25,22,25,24,25,22,21,22,21,20,19,20,19,18,18,20,21,21,27,25,27
111050-99999,0.07252326217843763,-0.029645578667336955,0.17469210302421223,0,12.535714285714286,358,30,32.00000000000001,14,14,14,12,9,14,14,12,12,7,7,12,13,12,13,12,14,13,11,11,12,12,12,14,16,15,15,15
612970-99999,0.34154351395731475,-0.9972819508961176,1.6803689788107472,0,26.571428571428573,164,172,8.00000000000001,27,26,26,27,27,24,15,16,19,18,18,16,16,14,15,15,20,164,14,20,20,29,30,28,28,25,19,28
408790-99999,0.12479474548439844,-0.2435548399063856,0.4931443308751825,0,25.928571428571427,283,299,16.00000000000002,19,14,15,14,12,16,36,34,35,34,32,34,35,35,32,30,30,29,28,26,28,24,23,27,22,19,18,25
872890-99999,0.3308702791461449,0.1111101241846722,0.5506304341076176,1,42.035714285714285,98,120,21.999999999999993,37,41,40,37,42,39,39,41,40,37,39,41,49,40,40,40,39,32,36,43,55,54,48,46,47,47,44,44
285520-99999,-0.06431308155445697,-0.1819930636897133,0.05336690058079935,0,25.25,232,224,8.00000000000001,32,27,28,27,28,25,23,23,21,22,22,24,26,27,26,22,29,26,26,24,24,24,23,25,26,27,24,26
916990-99999,-0.18828680897646743,-0.6653477557814071,0.28877413782847233,0,46.857142857142854,99,110,11.000000000000004,49,48,46,54,51,37,33,33,56,56,52,51,49,50,49,55,56,57,51,60,54,39,27,26,27,43,52,51
942760-99999,0.3100711548987473,0.12833745117400217,0.49180485862349244,1,19.464285714285715,79,66,12.999999999999993,17,13,15,14,14,15,13,14,15,11,26,27,24,26,24,23,22,21,22,22,21,20,21,21,21,22,20,21
915510-99999,-0.017788724685279644,-0.24816382313777657,0.21258637376721728,0,19.25,135,98,37.0,16,15,18,19,25,18,16,20,23,19,16,17,24,23,21,24,35,17,17,21,14,13,13,16,19,25,20,15
162350-99999,0.4053092501368428,0.19973499562065855,0.6108835046530271,1,26.75,212,249,36.99999999999999,22,21,22,28,23,26,25,28,24,30,25,29,23,25,22,21,17,23,22,27,25,30,34,34,36,35,35,37
