stationNumber,slope,lowBound,hightBound,slopeInt,pw1985,pw1995
535290-99999,-0.05454545454541515,-0.6970186271689429,0.5879277180781126,0,314,299
117660-99999,0.49090909090908497,-0.14568588702285723,1.1275040688410272,0,2,257
722656-23040,-0.4999999999999787,-1.1791316743612286,0.1791316743612711,0,141,118
764990-99999,0.28181818181818796,-0.22651761553067962,0.7901539791670555,0,121,82
010330-99999,0.24545454545455048,-0.22604937512832468,0.7169584660374256,0,136,176
727347-14841,-0.2727272727272565,-0.6099497521723701,0.06449520671785713,0,282,282
722260-13895,-0.372727272727261,-0.8116092970283144,0.06615475157379236,0,311,10
975020-99999,0.4454545454545564,-0.587335864666888,1.4782449555760009,0,159,163
725340-14819,-0.4636363636363221,-1.092619626370165,0.16534689909752076,0,250,272
718460-99999,-1.8090909090908505,-2.3701567429838577,-1.2480250751978432,-1,283,335
037860-99999,-0.48181818181819835,-1.0976647248315907,0.1340283611951939,0,251,262
788564-99999,-1.0636363636362365,-2.4348292048297084,0.30755647755723525,0,128,107
012400-99999,1.1999999999999353,0.20245889961871288,2.197541100381158,1,250,229
766560-99999,-0.31818181818181257,-0.7222793880393849,0.08591575167575971,0,152,156
702670-26415,-0.5909090909090544,-1.0802155271471956,-0.10160265467091317,-1,136,131
610490-99999,0.40909090909080126,-2.7218985127987794,3.540080330980382,0,47,30
605660-99999,-0.8909090909091137,-1.5851302403841225,-0.19668794143410495,-1,355,357
591330-99999,-0.06363636363635639,-0.543047000499776,0.4157742732270632,0,36,37
388180-99999,0.2090909090909019,-0.36652685949355546,0.7847086776753592,0,105,140
570910-99999,0.12727272727273053,-0.12958485369780676,0.3841303082432678,0,47,132
508620-99999,1.6909090909090088,-0.231725923704315,3.6135441055223323,0,207,195
359250-99999,-0.29999999999999183,-0.8885346538103586,0.2885346538103749,0,109,124
209460-99999,0.20000000000000817,-0.46093217102951156,0.8609321710295279,0,179,240
582030-99999,0.027272727272705133,-0.3959103659051871,0.45045582045059734,0,84,143
673410-99999,4.418181818181623,2.459228177291528,6.377135459071717,1,97,95
486200-99999,0.3181818181818161,-0.017294287641855977,0.6536579240054883,0,260,246
031350-99999,0.7545454545454371,0.06661405556648359,1.4424768535243906,1,225,237
641550-99999,nan,nan,nan,0,31.0,22.0
476580-99999,0.16363636363632938,-0.40064477356454165,0.7279175008372004,0,264,265
601410-99999,0.127272727272711,-1.1556240269654579,1.4101694815108798,0,307,313
357960-99999,-0.618181818181804,-0.9119096994877882,-0.3244539368758197,-1,58,43
153330-99999,-0.4363636363636232,-0.8718598796678116,-0.0008673930594346735,-1,25,19
066160-99999,-0.14545454545453307,-0.3446044293544469,0.05369533844538077,0,231,229
339340-99999,-0.4363636363636121,-0.771909771643388,-0.10081750108383614,-1,340,241
433440-99999,0.6818181818181728,0.10931099846227599,1.2543253651740696,1,309,304
538630-99999,0.9454545454545014,0.5538173703798466,1.3370917205291561,1,245,243
719450-99999,-0.345454545454535,-0.5997379697468024,-0.09117112116226761,-1,300,324
836710-99999,-0.13636363636362714,-0.4589869143741444,0.18625964164689013,0,254,247
383880-99999,-0.954545454545459,-1.7040661423463246,-0.20502476674459358,-1,69,52
726559-99999,0.17272727272724886,-1.2487437539239172,1.594198299378415,0,267,295
602200-99999,0.3818181818181081,-1.119666314301772,1.8833026779379882,0,358,326
484750-99999,-0.3727272727272528,-0.6345675668836832,-0.11088697857082241,-1,187,131
723555-99999,-0.23636363636362034,-0.6591579020455859,0.1864306293183452,0,154,126
012230-99999,0.2181818181818267,-0.5813617718591207,1.0177254082227742,0,267,262
710435-99999,-0.554545454545404,-1.2549327876765128,0.14584187858570474,0,336,27
152640-99999,-0.4545454545454457,-0.9204852685972886,0.011394359506397167,0,343,312
984300-99999,-0.6454545454545333,-1.2562442882965494,-0.03466480261251703,-1,205,45
170380-99999,-0.6181818181817662,-1.2234456869465349,-0.012917949416997532,-1,243,230
477440-99999,-0.6818181818181261,-1.3854186248098674,0.021782261173615147,0,312,227
670040-99999,nan,nan,nan,0,304.0,nan
244770-99999,0.6363636363636347,-0.8757864080211568,2.148513680748426,0,226,229
071400-99999,-1.8363636363635147,-3.336908941488817,-0.3358183312382128,-1,274,289
172400-99999,-0.2454545454545385,-0.3877684942856089,-0.10314059662346806,-1,182,156
717060-99999,-0.17272727272727462,-0.3958053097726228,0.05035076431807356,0,259,280
320980-99999,0.18181818181818077,-0.2306240416978732,0.5942604053342347,0,325,315
833930-99999,-0.4999999999999749,-0.8410330238920877,-0.15896697610786215,-1,113,106
804620-99999,-0.22727272727273817,-1.2205414812174342,0.765996026671958,0,119,78
060090-99999,3.4363636363635344,1.7570092318529469,5.115718040874122,1,137,259
150200-99999,-1.0727272727272434,-1.5864424346683323,-0.5590121107861545,-1,306,296
724090-14780,-0.04545454545450944,-0.8043212387646188,0.7134121478555999,0,273,268
124180-99999,-0.04545454545453298,-0.38093065127820436,0.2900215603691384,0,260,245
726456-99999,-0.16363636363637646,-0.7618720302158072,0.43459930294305427,0,254,271
528950-99999,-0.19090909090907449,-0.5637995889290977,0.18198140711094862,0,68,52
172440-99999,0.4090909090908954,-0.13909656604676357,0.9572783842285544,0,2,353
746110-99999,0.41818181818179223,-0.13295510596302196,0.9693187423266064,0,260,233
281650-99999,1.554545454545341,-0.7599661100778343,3.8690570191685163,0,223,167
944820-99999,0.6818181818181013,-0.12797432654504837,1.491610690181251,0,148,157
287560-99999,0.19090909090908204,-0.426004777936303,0.807822959754467,0,172,218
973200-99999,-0.6090909090908698,-1.0117906163453922,-0.20639120183634746,-1,63,95
025820-99999,-0.83636363636354,-2.2755264256362384,0.6027991529091585,0,282,259
725896-99999,-0.39999999999998836,-0.8600531674702405,0.060053167470263735,0,184,173
911860-99999,0.16363636363636402,-0.34270804089021534,0.6699807681629434,0,63,59
722390-03931,0.8454545454544906,0.18826564884187302,1.5026434420671082,1,92,98
586060-99999,-0.06363636363637859,-0.48459274789538487,0.3573200206226277,0,26,25
878030-99999,1.072727272727219,-0.06932839558533588,2.2147829410397737,0,262,275
653300-99999,-0.8272727272726876,-1.1275664968228307,-0.5269789577225444,-1,171,150
547250-99999,0.42727272727272236,-0.031091978234014328,0.885637432779459,0,51,220
471560-99999,-0.19999999999998286,-0.46513962091578986,0.06513962091582415,0,309,241
354780-99999,-1.1636363636363143,-1.9952157663900847,-0.3320569608825439,-1,347,200
862100-99999,1.0636363636363173,-0.4083748032632417,2.5356475305358765,0,140,82
714150-99999,-0.5909090909091308,-1.4924161202869395,0.3105979384686778,0,323,271
605150-99999,-2.6454545454544522,-4.76496473587722,-0.5259443550316849,-1,334,353
949400-99999,0.32727272727276535,-1.2232962097541453,1.877841664299676,0,212,214
546020-99999,-0.1818181818181741,-0.3757074751374241,0.01207111150107587,0,50,193
711210-99999,-0.22727272727273107,-0.8620566205165355,0.4075111659710734,0,272,271
638620-99999,2.4545454545453325,1.0980130398110208,3.811077869279644,1,87,89
028970-99999,-0.3545454545454412,-0.7361553452385343,0.027064436147652027,0,160,186
718890-99999,-0.0545454545454378,-0.4637850832159742,0.3546941741250986,0,177,179
477460-99999,-0.054545454545450234,-0.192329685581655,0.08323877649075453,0,147,113
316320-99999,0.47272727272724235,-0.05274490682072308,0.9981994522752078,0,57,116
571560-99999,0.4545454545454284,-1.4195227004623006,2.328613609553157,0,244,257
238200-99999,5.65454545454513,2.1649690664948245,9.144121842595435,1,238,195
478600-99999,-0.1999999999999993,-0.6960308105630326,0.296030810563034,0,58,9
306670-99999,0.03636363636365392,-0.6702025750332462,0.742929847760554,0,1,334
474830-99999,0.4272727272727348,0.09916128274463476,0.7553841718008348,1,278,253
702700-99999,1.5454545454544326,0.3865705998711788,2.7043384910376864,1,154,329
161190-99999,0.3181818181817988,-2.1713804910730623,2.80774412743666,0,59,35
043600-99999,-0.02727272727272867,-0.4380595812299274,0.38351412668447005,0,86,68
424520-99999,-0.663636363636332,-0.9438550283088367,-0.3834176989638274,-1,285,292
382670-99999,-0.3363636363635587,-1.2860006573504696,0.6132733846233522,0,42,41
724338-13802,0.9999999999999165,0.03103837787839625,1.9689616221214368,1,255,260
060240-99999,-0.3272727272726996,-0.616811186691063,-0.0377342678543362,-1,272,279
033450-99999,-0.2454545454545194,-1.2419351711737088,0.7510260802646701,0,240,241
851950-99999,0.01818181818182918,-0.6740056744988863,0.7103693108625446,0,326,356
837750-99999,-1.1454545454544565,-2.2066331610994636,-0.08427592980944953,-1,148,55
718050-99999,-0.8272727272727032,-2.242448750609873,0.5879032960644666,0,272,288
035623-99999,1.7454545454544315,0.39350244457813255,3.0974066463307306,1,265,233
724057-99999,-0.2727272727272805,-0.7829546015642178,0.23750005610965685,0,299,297
725396-14815,0.26363636363635656,-0.25748056488223325,0.7847532921549464,0,237,238
687140-99999,-0.827272727272673,-3.6699089754583967,2.0153635209130507,0,219,214
070370-99999,0.19090909090909491,-0.18698855306345896,0.5688067348816488,0,265,251
023660-99999,0.41818181818179223,-0.017745823190832954,0.8541094595544174,0,329,311
648510-99999,0.11818181818181062,-1.4571463180367006,1.6935099544003218,0,6,354
026070-99999,0.7909090909090555,0.32643394414245985,1.255384237675651,1,251,256
033210-99999,-3.4638958368304884e-14,-0.6902840074630117,0.6902840074629424,0,215,236
607800-99999,-0.8181818181817695,-1.4046769002448003,-0.23168673611873858,-1,54,75
747020-23110,-0.4818181818181384,-1.212159542144449,0.2485231785081724,0,325,336
718140-99999,-0.672727272727232,-1.295893614725459,-0.04956093072900514,-1,307,336
125400-99999,-1.0658141036401503e-14,-0.35619737641574645,0.35619737641572513,0,248,272
964410-99999,0.10000000000000253,-0.1600394454545831,0.36003944545458816,0,343,319
471070-99999,-0.13636363636365845,-0.7242591862485104,0.4515319135211935,0,261,252
595670-99999,-0.6454545454544931,-1.6515092641682696,0.3606001732592834,0,15,18
297560-99999,-0.19999999999998153,-0.7717268927250562,0.3717268927250932,0,257,255
943330-99999,-1.3818181818180837,-2.4599542378582666,-0.30368212577790077,-1,178,177
040230-99999,1.3090909090908696,0.35419844219295327,2.263983375988786,1,82,46
725337-99999,-0.15454545454545965,-0.6707700087367856,0.3616790996458663,0,271,282
766120-99999,-0.39999999999995195,-1.1045681881357654,0.3045681881358615,0,262,356
014250-99999,0.263636363636369,-0.09249504419348359,0.6197677714662215,0,213,256
370170-99999,0.5545454545454231,-0.04144733683772672,1.1505382459285731,0,191,115
853150-99999,-0.11818181818177975,-0.6425349705651671,0.40617133420160756,0,150,91
683960-99999,-1.1818181818181186,-1.9628094539113399,-0.4008269097248973,-1,83,90
343630-99999,-0.009090909090919475,-0.4678655093413186,0.44968369115947965,0,296,313
726556-99999,-0.20909090909087968,-0.674576664421207,0.25639484623944764,0,265,271
573060-99999,-0.4181818181817911,-0.555966049217997,-0.28039758714558527,-1,26,43
804270-99999,-0.018181818181825626,-0.47061325073000543,0.4342496143663542,0,15,34
723110-13873,-0.13636363636364113,-0.31180398602633075,0.03907671329904849,0,281,322
825620-99999,0.5727272727272457,0.2637946325618486,0.8816599128926428,1,67,48
432450-99999,2.6645352591003757e-15,-0.4203419713757319,0.42034197137573726,0,213,222
620530-99999,0.5454545454545165,-0.04264079901550222,1.1335498899245353,0,21,2
508540-99999,-0.43636363636363384,-1.0322381478280431,0.15951087510077555,0,234,239
035020-99999,0.23636363636365942,-0.660151606900424,1.132878879627743,0,209,226
621310-99999,0.3545454545454483,-0.26692190604830035,0.9760128151391969,0,358,321
236560-99999,0.8818181818181188,-0.5368732354447512,2.3005095990809887,0,236,236
320590-99999,2.7181818181816855,0.43309346677280613,5.003270169590564,1,294,140
243430-99999,-0.7363636363635897,-1.0621755417749237,-0.4105517309522557,-1,15,136
717170-99999,0.5636363636363595,-0.04626798094701423,1.173540708219733,0,283,264
992240-99999,0.8636363636363571,-0.06862138565477494,1.7958941129274892,0,176,215
030030-99999,1.5272727272726891,0.6581165262404319,2.3964289283049465,1,253,238
839190-99999,-0.15454545454544744,-0.35215564928198395,0.04306474019108908,0,312,332
917010-99999,-1.5909090909090695,-3.692115818716914,0.510297636898775,0,89,74
711870-99999,-0.33636363636362976,-0.7562022374912755,0.08347496476401595,0,274,297
686240-99999,0.5999999999999179,-0.3187775132335543,1.51877751323339,0,282,260
586460-99999,0.6363636363636018,0.40491146475794837,0.8678158079692553,1,70,91
727130-14604,-0.718181818181761,-1.503941951667778,0.06757831530425629,0,284,292
064650-99999,-0.6636363636363312,-1.2302029744973941,-0.0970697527752683,-1,237,227
943460-99999,-0.7181818181817743,-1.3883982403472483,-0.04796539601630012,-1,92,65
726416-14921,-0.3090909090909175,-0.7007280841655763,0.08254626598374132,0,279,291
722350-03940,-1.4818181818180998,-2.4174972565997264,-0.5461391070364731,-1,141,51
276650-99999,0.3363636363636191,0.0958510211108437,0.5768762516163946,1,238,202
723346-03811,-0.10909090909091868,-0.4978377334080175,0.27965591522618016,0,212,202
075770-99999,-0.5636363636363493,-0.8774736019100293,-0.2497991253626693,-1,15,26
430030-99999,-0.1909090909090998,-0.47841167597202533,0.09659349415382573,0,288,284
123100-99999,-0.4636363636363532,-0.8760216160597266,-0.05125111121297976,-1,247,259
722588-99999,-0.7090909090909037,-1.2538818721345308,-0.1642999460472765,-1,157,169
387670-99999,-0.03636363636360995,-0.399356292644357,0.3266290199171371,0,94,70
378950-99999,0.6727272727272573,-0.1669499295280361,1.5124044749825507,0,198,7
967450-99999,-0.1999999999999722,-0.8750021212808742,0.4750021212809298,0,324,360
782210-99999,-1.6454545454544567,-2.7029735694330186,-0.5879355214758948,-1,67,77
064900-99999,0.5818181818181563,0.19138271922687694,0.9722536444094356,1,201,222
554930-99999,0.1363636363636358,-0.6384357866852678,0.9111630594125394,0,268,236
404390-99999,-0.24545454545449719,-1.0463781026912766,0.5554690117822823,0,293,270
152920-99999,-0.6636363636363423,-1.222688495801349,-0.10458423147133533,-1,179,165
026260-99999,1.0727272727272874,0.25252743485094287,1.8929271106036318,1,261,230
153280-99999,1.0090909090908686,0.5063321954351666,1.5118496227465705,1,349,321
237740-99999,0.17272727272727728,-0.23965797969609548,0.58511252515065,0,206,340
423670-99999,-1.2363636363635804,-2.503411995589154,0.03068472286199353,0,297,315
787170-99999,-0.06363636363634528,-0.674887544274854,0.5476148170021634,0,2,4
474810-99999,-0.10000000000000853,-0.3009117868519654,0.10091178685194835,0,333,258
024180-99999,0.46363636363635674,-0.01616618879372872,0.9434389160664423,0,232,233
691464-99999,-0.4454545454545151,-1.0547036382382626,0.1637945473292325,0,50,46
261150-99999,0.027272727272746877,-0.39479847987127575,0.4493439344167695,0,261,252
038300-99999,-0.31818181818178015,-1.12681291682806,0.49044928046449976,0,271,234
766400-99999,0.9272727272726877,-0.6867319067149709,2.541277361260346,0,47,358
723658-23090,1.336363636363553,0.7961200759733079,1.876607196753798,1,262,284
580050-99999,33.881818181816136,10.737868967220066,57.025767396412206,1,81,19
162630-99999,-0.9545454545453991,-2.269834601758003,0.36074369266720496,0,249,274
676630-99999,-0.40909090909083234,-1.571113135354378,0.7529313171727132,0,95,98
762560-99999,0.9454545454545453,-0.2098555975618588,2.1007646884709494,0,238,244
476960-43323,-2.4454545454543566,-4.132945925288078,-0.7579631656206358,-1,349,322
943930-99999,0.7818181818181236,-1.6678715656255219,3.231507929261769,0,132,119
833480-99999,-0.7181818181818067,-1.0307437474748649,-0.4056198888887486,-1,114,170
060800-99999,0.03636363636363882,-0.21865791262867695,0.2913851853559546,0,272,264
277310-99999,-0.045454545454518325,-0.5221127507477044,0.43120365983866776,0,235,152
307650-99999,-0.3727272727272566,-0.7418178363547179,-0.0036367090997952434,-1,307,352
763900-99999,-0.7272727272726791,-1.3725192832937199,-0.08202617125163836,-1,126,84
702185-99999,-2.609090909090857,-4.859491279191111,-0.35869053899060255,-1,43,45
349290-99999,0.02727272727272867,-0.35630233838893055,0.4108477929343879,0,95,151
710660-99999,-0.045454545454537865,-0.35469125325276846,0.2637821623436927,0,341,16
645500-99999,3.081818181817985,0.08029700520168115,6.083339358434289,1,193,44
013740-99999,-0.17272727272723865,-0.9242515278824439,0.5787969824279666,0,256,257
718620-99999,-0.5454545454545423,-1.0445076585326163,-0.04640143237646843,-1,273,335
374390-99999,1.0363636363636037,-1.632908229677625,3.7056355024048324,0,258,4
318660-99999,-0.34545454545451193,-0.6294212856670469,-0.06148780524197689,-1,289,266
040770-99999,0.3818181818181623,0.04348275387070549,0.7201536097656192,1,56,348
228920-99999,-0.3999999999999768,-0.8465771747734541,0.04657717477350043,0,222,197
475200-99999,-0.2909090909090004,-1.181956444481333,0.6001382626633324,0,315,329
025880-99999,0.7545454545454078,0.1904725468572196,1.3186183622335959,1,260,230
727459-99999,-2.2090909090908024,-3.0251264673101135,-1.3930553508714913,-1,282,256
227680-99999,0.9363636363636272,0.4120104839802372,1.4607167887470172,1,199,225
917270-99999,-0.045454545454552964,-1.1788158306230407,1.0879067397139348,0,71,72
386560-99999,0.09090909090912236,-0.788566417370368,0.9703845991886128,0,34,58
370540-99999,-0.3000000000000025,-0.5933276523678077,-0.006672347632197262,-1,87,99
873950-99999,-1.0272727272727211,-1.6965068384087743,-0.358038616136668,-1,107,132
992140-99999,0.18181818181817277,-0.5894860019253338,0.9531223655616794,0,198,209
013250-99999,-0.2818181818181529,-0.8470561867506269,0.2834198231143211,0,172,169
722110-12842,-0.3272727272727187,-0.8376842204646353,0.18313876591919787,0,72,36
166750-99999,-0.18181818181817588,-0.38517098821686296,0.021534624580511197,0,297,305
064490-99999,-0.1818181818181861,-0.6957162581898166,0.33207989455344444,0,221,225
011610-99999,-0.32727272727269874,-0.8311984234038129,0.17665296885841542,0,54,197
156010-99999,0.018181818181813858,-0.416234055699962,0.45259769206358974,0,303,299
442840-99999,-0.41818181818179667,-0.7514797128325721,-0.08488392353102131,-1,314,325
317250-99999,-1.5909090909090091,-2.155148588355021,-1.026669593462997,-1,245,229
298700-99999,-0.6454545454544713,-1.704305793473473,0.4133967025645304,0,284,0
154700-99999,-0.4090909090909052,-0.7766504993846706,-0.04153131879713984,-1,334,339
781010-99999,-0.22727272727278436,-1.4576488717538867,1.003103417208318,0,92,100
725636-24017,-0.7000000000000144,-1.2885346538103892,-0.11146534618963955,-1,270,283
722956-99999,-0.5909090909090748,-1.0655915023908187,-0.11622667942733106,-1,248,236
310040-99999,0.06363636363637593,-0.29196685494050195,0.4192395822132538,0,248,224
427790-99999,-0.5181818181818161,-0.7810967008242493,-0.25526693553938284,-1,330,341
935160-99999,0.154545454545449,-0.4186179917378642,0.7277089008287622,0,221,249
061900-99999,0.2454545454545496,-0.2606577932435664,0.7515668841526656,0,262,257
634710-99999,-1.554545454545357,-2.5450664407660217,-0.5640244683246922,-1,153,138
716310-99999,-0.8090909090909166,-1.4793073312563785,-0.1388744869254548,-1,239,246
577310-99999,-0.09090909090908617,-0.3140924279541828,0.13227424613601046,0,49,83
239730-99999,-0.6727272727272844,-1.3466146085714592,0.0011600631168904307,0,179,217
714210-99999,-0.1181818181818195,-0.7888187903293762,0.5524551539657372,0,276,309
701740-26533,-0.5272727272726838,-0.9786643252295046,-0.075881129315863,-1,315,354
727885-99999,-0.5454545454545268,-0.803771556244192,-0.2871375346648615,-1,283,285
321580-99999,-0.22727272727272485,-3.1149785897867677,2.660433135241318,0,314,4
912030-99999,-0.9545454545454537,-2.200859286561773,0.29176837747086526,0,81,74
152380-99999,-0.02727272727272867,-0.282938387283021,0.22839293273756367,0,336,330
111530-99999,0.13636363636362536,-0.0664106402528204,0.3391379129800711,0,274,271
570460-99999,0.05454545454544579,-0.4658947277521479,0.5749856368430395,0,252,260
831820-99999,0.8363636363635853,-2.118429041648882,3.7911563143760527,0,129,117
423610-99999,-0.07272727272729718,-0.4068700303169219,0.2614154848623276,0,317,285
569860-99999,0.027272727272731334,-0.20121657091463493,0.25576202546009763,0,130,132
260670-99999,1.0454545454544881,-1.57056939631455,3.661478487223526,0,223,223
042070-99999,0.29090909090910344,-0.42398784178670934,1.0058060236049162,0,73,56
915270-99999,-0.2727272727272254,-1.209635969341051,0.6641814238866002,0,54,64
119160-99999,-1.527272727272745,-3.166984748551391,0.11243929400590069,0,276,273
714030-99999,0.2090909090909232,-0.19360879816360543,0.6117906163454518,0,230,272
820670-99999,0.2090909090909392,-3.206822190083588,3.625004008265466,0,102,229
040820-99999,0.04545454545461425,-0.9619071627270734,1.052816253636302,0,7,10
410140-99999,-0.8000000000000647,-3.351652345317981,1.7516523453178516,0,349,224
074710-99999,-0.23636363636359503,-0.6933422327383272,0.22061496001113706,0,273,287
379890-99999,0.6545454545454565,-1.0301170987658712,2.3392080078567843,0,338,218
337450-99999,0.4727272727272567,0.1385845151376347,0.8068700303168787,1,325,334
655020-99999,0.02727272727272334,-0.5746824939961174,0.629227948541564,0,117,89
943320-99999,-0.15454545454541702,-0.8265823592719606,0.5174914501811265,0,116,131
863700-99999,0.49999999999998757,0.03836632716038063,0.9616336728395944,1,128,126
030070-99999,-0.063636363636288,-1.288193465140305,1.160920737867729,0,249,252
725555-99999,-0.37272727272725525,-0.7941299400527706,0.04867539459826009,0,314,311
384710-99999,0.13636363636362603,-0.941750626602639,1.214477899329891,0,218,90
488080-99999,-1.8363636363634686,-3.2451664971216068,-0.42756077560533035,-1,250,134
823310-99999,-0.24545454545455292,-0.7634964773994711,0.2725873864903653,0,83,88
619860-99999,0.06363636363625336,-2.005751521227174,2.1330242484996806,0,88,111
128430-99999,0.09999999999997478,-0.30549061358647145,0.505490613586421,0,346,324
994240-99999,0.872727272727257,0.3550029213633702,1.3904516240911438,1,58,171
992490-99999,1.2272727272726867,0.2401734041586887,2.2143720503866846,1,317,310
723600-23051,-0.654545454545417,-1.040867134643026,-0.26822377444780793,-1,253,253
960750-99999,-0.16363636363635825,-0.40267913858894666,0.07540641131623016,0,346,345
970280-99999,-0.6454545454545206,-1.0319586391989102,-0.258950451710131,-1,297,331
297940-99999,0.5363636363636005,-0.08358960976078611,1.156316882487987,0,249,298
010590-99999,0.14545454545456593,-0.4082343459913438,0.6991434369004756,0,204,216
994320-99999,0.9454545454545107,0.5747759417783183,1.3161331491307031,1,230,248
223010-99999,5.018181818181576,-2.4647769563137327,12.501140592676885,0,306,320
548360-99999,0.6272727272727041,0.23834462673950002,1.0162008278059083,1,14,290
374290-99999,2.1818181818180395,-0.33033918237450655,4.693975546010586,0,199,122
919450-99999,0.06363636363638925,-0.8172005833152232,0.9444733105880017,0,86,77
012100-99999,-0.2999999999999803,-1.11545950593925,0.5154595059392894,0,194,218
994160-99999,0.7636363636363379,0.32987000301174263,1.1974027242609333,1,273,3
110360-99999,0.40000000000000924,-0.16793348042505996,0.9679334804250784,0,277,289
788660-99999,0.25454545454543087,-0.6422842267630183,1.15137513585388,0,91,109
761130-99999,-0.2727272727272898,-0.7243270291447641,0.17887248369018444,0,236,34
064810-99999,0.19090909090909314,-0.3320082123921485,0.7138263942103348,0,214,213
948650-99999,0.8818181818181285,0.16972032199927278,1.5939160416369842,1,241,266
722929-99999,0.10909090909093067,-0.5468454822921265,0.7650273004739878,0,254,256
220180-99999,0.5727272727272776,0.03685044706195828,1.1086040983925969,1,249,246
634740-99999,-0.7999999999999519,-1.4942211494749615,-0.10577885052494218,-1,95,94
297890-99999,-0.018181818181803866,-0.2532600931325997,0.21689645676899197,0,227,218
076800-99999,0.43636363636360986,-0.6031614735038855,1.4758887462311052,0,313,300
306690-99999,-0.43636363636359965,-0.9342855357926261,0.06155826306542683,0,287,277
725170-14737,-0.39090909090907466,-0.7288971161281463,-0.05292106569000293,-1,290,282
599850-99999,-0.19999999999998863,-0.7806976242698208,0.38069762426984355,0,82,76
619740-99999,-1.3999999999999213,-2.157906278648836,-0.6420937213510066,-1,114,107
474200-99999,1.5545454545453623,0.6804562635442908,2.428634645546434,1,252,258
368590-99999,0.09090909090908506,-0.1655823350913101,0.3474005169094802,0,66,86
312880-99999,5.572727272726906,-1.3138611045852864,12.459315650039098,0,356,220
485650-99999,-1.4272727272726347,-2.0936922570747583,-0.760853197470511,-1,301,295
335260-99999,-0.4545454545454466,-0.8349837196368743,-0.07410718945401878,-1,284,270
317700-99999,-0.627272727272691,-2.6373142502488776,1.3827687957034955,0,293,90
722897-99999,1.999999999999926,1.0879986789140252,2.912001321085827,1,287,311
170300-99999,-0.15454545454544943,-0.3850821887934884,0.07599127970258951,0,268,279
317540-99999,-0.26363636363634707,-0.45249190059003647,-0.07478082668265768,-1,235,235
724390-93822,-0.8090909090908784,-1.3311088011599503,-0.28707301702180665,-1,226,231
163100-99999,0.8727272727272375,0.12985037015377454,1.6156041753007004,1,60,356
725116-99999,-0.3272727272727325,-0.8160506768527971,0.16150522230733216,0,297,289
484310-99999,-0.35454545454543585,-0.6072532054870037,-0.10183770360386796,-1,210,55
722328-99999,0.2727272727272525,-0.19017707048403865,0.7356316159385436,0,43,44
411680-99999,5.054545454545151,-2.530541483166224,12.639632392256527,0,357,265
350370-99999,-0.29999999999998117,-0.7862235534185276,0.18622355341856522,0,309,274
560210-99999,-0.16363636363633605,-0.4442739531423399,0.11700122586966782,0,282,260
875320-99999,0.19090909090908337,-0.30526380133268116,0.6870819831508479,0,78,27
483770-99999,0.1999999999999853,-0.1611757349013485,0.5611757349013191,0,266,254
308790-99999,-0.05454545454543713,-0.30771765680872665,0.19862674771785238,0,296,337
719060-99999,-0.19999999999998774,-0.8756979282085275,0.47569792820855206,0,298,270
969470-99999,-0.8454545454544418,-1.6931244774254213,0.002215386516537743,0,317,266
723940-23273,0.29090909090907635,-0.05836082393781994,0.6401790057559726,0,298,294
915650-99999,-0.7727272727272592,-1.3622192832563274,-0.18323526219819108,-1,115,114
170260-99999,-0.999999999999964,-1.3258840116211787,-0.6741159883787493,-1,304,6
304330-99999,0.018181818181841614,-0.4008164886860068,0.43718012504969,0,266,258
990180-99999,-7.73636363636318,-17.18550568152515,1.7127784087987905,0,346,340
208710-99999,0.6181818181818013,-0.08611953859124333,1.3224831749548458,0,98,197
477760-99999,-0.5909090909090526,-0.9961678630736959,-0.1856503187444094,-1,332,315
013600-99999,1.1999999999999904,0.4417218036324573,1.9582781963675235,1,287,276
400800-99999,0.19090909090907626,-0.31184962274661976,0.6936678045647723,0,224,229
994080-99999,0.7272727272727604,-0.41568780035641906,1.8702332549019398,0,124,71
415300-99999,-0.13636363636363114,-0.48958022919211164,0.21685295646484937,0,9,11
265850-99999,0.054545454545439576,-0.26873260134061927,0.3778235104314984,0,224,205
717250-99999,-0.03636363636360951,-0.5421509040210887,0.46942363129386966,0,272,278
617210-99999,1.554545454545344,-0.08664180440819025,3.195732713498878,0,70,48
724455-14938,-0.4999999999999609,-0.9354422884946412,-0.06455771150528067,-1,251,260
874120-99999,0.9181818181817789,0.14447485922119274,1.6918887771423652,1,92,17
476820-99999,-1.0999999999999561,-1.7567597353369904,-0.4432402646629219,-1,231,316
726695-99999,2.0181818181817097,0.8062574069438928,3.2301062294195266,1,305,302
872700-99999,-0.5636363636363866,-1.2818123564375004,0.15453962916472708,0,117,110
434360-99999,-0.7181818181818183,-2.150520518528697,0.7141568821650606,0,38,54
220280-99999,0.590909090909113,-0.06713728859072299,1.2489554704089492,0,198,216
222590-99999,1.1818181818181808,-0.1303411298980932,2.4939774935344547,0,284,262
034030-99999,0.9181818181817829,0.3664057956921327,1.469957840671433,1,203,230
712625-99999,-1.472727272727222,-2.18499008838693,-0.760464457067514,-1,247,241
711140-99999,-0.7454545454545016,-1.225110167073488,-0.2657989238355151,-1,231,92
600250-99999,0.7181818181818125,0.08399041965885923,1.3523732167047657,1,60,72
308440-99999,0.627272727272711,0.23116159880754827,1.0233838557378738,1,272,270
014750-99999,-0.009090909090911925,-0.4075676072768109,0.38938578909498706,0,222,233
612300-99999,0.4181818181818162,-0.2950040451131113,1.1313676814767437,0,55,60
